W_M1,W_M2,W_M3,W_M4,W_M5,W_M6,I1,C1,C2,gain_db,power_watts
4.000580525275639,1.269791633764307,1.7562016608756998,4.042160586262826,4.439225764480712,7.577831129214096,8.926706086234421e-05,4.213341627193123e-12,8.651087771042762e-12,29.825,0.00108722
1.1355633391223687,2.5827118601116243,2.912378619975304,3.7120842675212566,8.564718388619148,3.3761597775111065,7.038720575202641e-05,5.229044781381392e-12,5.557099696389874e-12,5.68589,0.0020354
3.785825690940997,2.8686880572855356,3.822479402363767,3.997211683927719,6.515811008759325,7.779283730644007,9.729163041251607e-05,8.756383579153131e-12,1.3051321369750426e-12,19.8509,0.0085162
2.450493593419348,1.550511393168347,2.654006417583768,4.074009453499747,8.03035227363031,4.121932705304936,1.5800221382097832e-05,6.941289332549144e-12,6.731539114956972e-12,5.17206,0.00259885
1.3584992210213125,1.5587614896038828,4.141733993649634,3.352167682496516,8.53583239147206,8.528822052411066,3.933902534541105e-05,2.7172035588537812e-12,7.283600645208172e-12,6.29537,0.00108065
1.4266108151359935,2.962623385813717,4.388698443362656,3.228307182576329,3.0789453392284116,8.201742093154678,9.780077933483514e-05,4.4932447689870305e-12,3.4116595582702876e-12,28.9638,0.00129033
4.615420798532613,3.3900852698361517,2.1720789451033,4.900518464777484,5.538463582031335,5.352524934219382,8.261555955485505e-05,9.52511362798143e-12,5.502325807523457e-12,30.1276,0.00095624
2.7533807483009767,1.1194517876396826,2.937669885940571,3.57328273919773,7.875215322252513,4.985618505650228,3.449491339307725e-05,1.7935394589141278e-12,4.541913246891629e-12,1.64099,0.000646831
2.6147836415612122,4.497255511533592,2.757051148712694,4.375682335386095,5.859601064364047,7.974554448192804,9.802760965493958e-05,6.030060483014922e-12,4.451822743124684e-12,29.4996,0.000935682
2.6779218554745183,2.133198769445834,3.3257332771268,3.8553971038588593,9.88169110342335,5.532148399084654,6.85608755521235e-05,9.06655560320234e-12,9.412341168791315e-12,5.99558,0.00355518
3.22279768708779,3.187836002597839,3.4136682791655373,2.57194778524308,2.153486014727859,4.644968038802558,2.871182277765163e-05,2.050139198289337e-12,1.5017842575099135e-12,29.0527,0.000561977
2.8843335116331903,2.1481039920015568,4.12352703704796,4.688034396574561,2.732359404173173,8.56463914684769,6.839383208928554e-05,7.486677303515578e-12,7.634937421289972e-12,28.9611,0.0025057
3.7716930920108984,2.8425552107197674,1.9312543885959417,2.3997538395932327,2.425904273025477,3.7804903211885392,1.9449350293687628e-05,7.419854735366964e-12,3.774426285513887e-12,29.3305,0.00120636
4.622779006900168,4.688330196263339,1.7601897217751947,4.597166015712913,6.057855931089929,4.533538101196594,6.413589522689379e-05,5.276136898462825e-12,6.303169440709487e-12,30.0325,0.000731755
4.684316785199822,2.2933084660850827,1.5499082656860366,2.843967392694261,4.216037845169768,4.785056041610905,5.10493663545522e-05,9.136295703690364e-12,5.107861561984925e-12,30.2016,0.000864239
1.66162620815131,4.210186249779898,1.5446905283489532,4.1797769385351415,7.2213281776193945,7.045855091071734,4.845849679248626e-05,9.20793581448543e-12,2.938433679094946e-12,30.1244,0.000604154
3.91616338745895,1.174881452102031,3.624671694692075,4.217912312774935,9.175324332995418,7.2003981901430425,6.365593010376244e-05,2.687270815047323e-12,6.41912968906919e-12,2.15641,0.000977659
4.576031400315287,2.24209834752191,1.683690055381137,2.483324924409115,8.38695052898,7.092408120011611,9.339984796877933e-05,8.17792855032769e-12,1.1447173225390368e-12,30.5553,0.000342836
4.595372999264601,1.5085333528077465,2.1991706640681015,4.4758569619832125,7.650322463272314,4.706300019034135,8.747227604497933e-05,4.919090033676291e-12,3.794170341024273e-12,7.57689,0.00203225
1.2364398552535403,1.361749721531008,2.2302778345509555,2.865527414608276,5.7418668314296655,9.185440909764756,2.9898353678706965e-05,3.770765371579374e-12,3.953095251875884e-12,24.2634,0.00767083
2.9431163671559406,3.8042972164186475,1.250876533204631,4.685198692751964,7.084188733661282,4.260904151908798,7.71048394402055e-05,5.437111015957185e-12,7.334326590568973e-12,30.3528,0.000622181
1.9500036476504476,1.8856060484822255,1.0102824967536228,1.375471427444777,6.474005818850937,7.52489636970116,8.050374287096752e-05,8.520766170262028e-12,8.00806432215965e-12,30.3287,0.000800082
1.4463721883597604,4.522059420016277,1.6678141842909788,1.7284164392520327,5.663060224695073,4.88942933432431,1.583027421865489e-05,2.222239484192458e-12,5.716477100272992e-12,29.8311,0.000560179
3.0116670539238046,3.9934492086615814,4.495162369132782,3.1387986403402115,8.923091658838267,8.224496785558099,2.3606966907036466e-05,5.258706196000072e-12,6.865626625001154e-12,17.4223,0.0038778
2.7768551033266444,1.3120922194753408,1.2240206875335131,3.108230635803896,7.178234108316548,8.242623441146941,7.317592335921239e-05,9.794759175084693e-12,7.364504112180826e-12,30.0567,0.000943755
2.293223843753858,1.7090702273652019,3.468452308038032,2.605310379713075,3.797318274168873,6.354725567808058,1.2450975155421816e-05,2.4498825410113663e-12,4.317451078007859e-12,17.5867,0.00183766
2.3030799712699017,3.0009235526245037,4.719006774262615,1.7572624126251895,2.520306057036846,6.102330406218837,8.076706436978041e-05,6.0251199929201834e-12,3.6098366207944146e-12,29.2967,0.00133529
1.175145458641726,4.464921964430607,3.504668944666314,1.0919485933334467,9.512598558415249,8.007633576704666,9.340811960588707e-05,7.16886296920073e-12,9.849029305413524e-12,30.0531,0.0012745
4.3308420823311735,3.2873763204287827,1.4045426882818735,1.1509787216459042,4.474958812345344,9.732026912831298,7.68683295399563e-05,8.211671514124495e-12,7.556039014979803e-12,30.7578,0.000835824
2.8315595271849507,2.513020910523813,2.3264557686560123,3.322136006294455,4.690501806343706,2.267302091523235,7.047447783488673e-05,1.1706729466943865e-12,6.008217985858172e-12,10.1255,0.000532014
1.8535237208048567,1.8707655294258738,3.681952200989299,3.285235718158357,9.036514783733022,5.427736814205989,2.9611939959524398e-05,6.451844750338176e-12,4.915249008705487e-12,4.49324,0.00242926
4.052551231944513,2.59823865210232,1.3073722394809555,3.1644236175123623,8.797776126502608,8.347090340236408,2.8320858904676914e-05,9.487151443586721e-12,1.2180426443303652e-12,30.1219,0.000498057
2.540576414482534,4.400562159296858,1.2458734746042328,3.6810394509583486,5.0967963575984845,2.9083503081685214,4.2414941996911685e-05,1.9632920442546524e-12,8.095613314220606e-12,30.3496,0.000595291
2.738910312793155,1.012874249273596,2.693119044695513,1.222284089006763,2.015780723220672,5.647297910002163,5.172838628741178e-05,2.803940369196008e-12,1.56111493085034e-12,29.3892,0.000496819
1.6258186096680975,1.9848587117349505,3.3691805741886487,3.99743664495811,2.0139429581356643,9.360809693485482,2.461483747805906e-05,1.0074014500371159e-12,5.214711367074278e-12,28.905,0.00118566
3.707908288993111,4.564441560785121,2.2915519497234915,3.4751604033070853,8.074157864056142,6.521897121687279,2.7592604521861744e-05,6.792129242916932e-12,1.1005904261587248e-12,29.9664,0.000435429
1.2006724499738248,1.1607532147132966,4.564357938860837,2.1679765755369123,7.311421588202854,2.969576089099241,8.720402714805907e-05,4.138179764386991e-12,6.588352075625632e-12,-5.62946,0.00137269
1.2711072892812463,1.85403753581737,1.3632495574029648,4.992930283891849,6.427815847278656,2.0445700254116135,1.6522029332896425e-05,8.372176515033544e-12,5.993177425099267e-12,10.9464,0.00339933
4.573625500463718,3.069120611670709,3.3123525656261092,3.0321105219549556,4.664930574896439,9.743444270377037,1.3599471787174575e-05,5.7886823733013665e-12,7.833832247214548e-12,29.1913,0.00166243
2.1474046251883108,1.1926138018272199,2.1435222035997628,2.4969393090584022,8.208648535380725,6.149978689210856,7.380078411845104e-05,8.347248765724565e-12,6.678920938114728e-12,7.5718,0.00343135
4.852415567948487,2.0731835803485326,3.469362165627968,3.9398617471664825,7.848190702589752,5.16815875651697,4.3687259411857105e-05,8.180707071176842e-12,3.536805152943854e-12,6.88116,0.00329817
1.5523491127969424,4.223708365906985,1.7717388662588807,2.4159514705199405,4.348702975948335,7.013292337663646,7.398493237946299e-05,9.483742387392222e-12,1.4757851642481086e-12,30.0287,0.000597169
1.6476442524141532,1.1729341996057405,1.2845509436833522,1.3017109939593512,7.708776584494719,5.683343754631503,1.684590641128618e-05,4.096517089760931e-12,9.539018040114964e-12,13.7979,0.00224832
4.2884273060463105,1.7458368878876405,3.392615637278338,4.949088207368058,7.208593647588749,5.13320572971195,9.254660294424495e-05,1.5117504265088224e-12,3.0058745161647597e-12,5.94752,0.000596669
4.799836454676835,1.8006280487210322,2.2369361254212694,2.394095172942872,3.820462425235429,3.1051080096131054,7.602730655080283e-05,7.667586974229972e-12,9.192297461161033e-12,13.2993,0.00409524
1.6631224884287499,2.6315207010408495,4.191601515529623,2.2673190568353347,5.11079673336791,2.5381882927316948,7.250703248246069e-05,4.943691208135129e-12,3.3225963114913246e-12,4.28966,0.00187184
1.2019321727740735,2.0321329004880613,3.5436475633810383,3.3978491724994315,4.902346614601643,7.339951131596113,5.1644228978819035e-05,6.615378305407328e-12,9.155904750380754e-12,18.6265,0.00551856
3.9930796794122267,1.0322791311924546,1.1187352197423825,1.839082429804202,9.257972243965767,8.016837504979641,7.417787876325711e-05,8.294064000752671e-12,8.206209670410868e-12,16.8776,0.00580303
4.748616333788208,3.5410058183829296,3.8489214969540466,1.2244945046637334,8.332808758754538,8.75045126550974,7.802442330718188e-05,2.098158084057703e-12,2.711866862589829e-12,23.3459,0.00358029
3.4158867902676153,2.2103743563012475,2.462515650493639,1.3460920761838686,3.4678786513539084,8.949216982252796,6.700459320467134e-05,8.36015202303145e-12,1.5532200733931966e-12,29.5389,0.000832688
1.9297468425299344,4.4213973158872975,2.349202850077169,3.801248951556778,4.407207111234021,4.898904814554042,3.138827780562968e-05,9.63344080197413e-12,1.7846141002648088e-12,29.451,0.000982667
