W_M1,W_M2,W_M3,W_M4,W_M5,W_M6,I1,C1,C2,gain_db,power_watts,score
4.186171947440933,1.7337391594646552,4.118764001091078,3.3874006317859484,5.56666202282873,2.799799326544023,5.1332400276928054e-05,4.003377500251197e-12,2.285801361297467e-12,0.404169,0.00141643,-0.403885714
3.603553891795412,1.225646316108401,3.8879950890672994,4.7542108360630015,2.0062301267281146,9.937692474329742,6.55733358664945e-05,6.5048784443945285e-12,1.0635967469774566e-12,28.9643,0.00115732,-28.964068536000003
1.092249700165663,3.099098641033557,2.5994438868610223,1.1866626528544617,9.790044150731674,3.8621707234424343,1.8154579107953875e-05,6.5654740839977866e-12,4.442157921404465e-12,9.103,0.00282786,-9.102434428
4.932923543227154,2.86705157299192,4.439761626945283,3.7212301543511193,5.603994015756345,2.1061196892789322,9.479815801163677e-05,6.069593960609854e-12,4.468748522859246e-12,1.72972,0.00219094,-1.729281812
1.0638650088808568,1.9235753024885962,1.964101864104047,3.7330540753018333,6.879973262260968,8.665559293889316,2.5602818815699492e-05,4.519545468159168e-12,2.640124790092561e-12,29.5261,0.000564879,-29.5259870242
4.021445641270611,2.7006234979649792,1.8317666514727555,3.2708013112799663,2.2505063396444687,8.738278196759989,5.047787200327892e-05,4.5563521240163305e-12,9.33992979214415e-12,29.28,0.00174415,-29.27965117
3.909087983425684,2.306163075223342,3.281775897621598,3.083337040103295,9.689376194794795,8.756270789425212,7.725880991236429e-05,5.857229191501718e-12,6.280760490974634e-12,12.8375,0.00304535,-12.836890930000001
4.861021229056552,3.428136990746739,2.1039967280901735,2.1850940228163296,3.32213551250402,2.1250912539295514,4.8106133263573275e-05,4.5539336635801285e-12,3.641393572462344e-12,30.1798,0.000638231,-30.1796723538
1.0563192908603378,1.7953696163552209,3.8453678109946003,4.1607021621248235,6.847679798248092,9.410407028106793,6.859693229517501e-05,9.234637079894028e-12,8.650347200108195e-12,13.1316,0.00483874,-13.130632252
2.797802696552814,1.3816404659616452,2.4832730087930655,3.6753650106544296,7.327378852939974,6.730382301661818,3.4724961369105785e-05,6.051190832629311e-12,4.44634187278411e-12,9.9611,0.00271631,-9.960556738
2.596726977701782,3.240649666659543,1.8408684680855498,2.715147801757775,4.715025723308051,4.4239009800551,3.4652008535456805e-05,3.6033913144607694e-12,1e-12,29.7691,0.000313318,-29.7690373364
2.9581158054734242,2.8863278373072943,3.6937036749151773,4.149455636193982,2.0,8.868563836475484,2.725896474569908e-05,9.286221017550678e-12,2.3644118943864203e-12,28.8618,0.00214405,-28.86137119
1.0,2.019712865786902,1.6445838210094397,3.9605556786888183,6.197344941222276,10.0,2.1389237912511098e-05,4.341328632788972e-12,4.324497311236132e-12,29.5544,0.000668807,-29.5542662386
4.969968738490346,4.718655266500692,1.8807657785693608,2.065532128701742,2.0,2.0,9.230021011432944e-05,8.265581066584387e-12,8.241089379664502e-12,23.123,0.000634262,-23.1228731476
1.08605431858807,1.0,2.0449176748538163,5.0,2.620652702371408,10.0,1e-05,1e-12,1e-11,29.0993,0.00139245,-29.09902151
5.0,4.899473489768752,2.00133961129747,1.0628982640245295,3.8009907508784693,6.868195504725881,0.0001,3.609966647999459e-12,1.4340788866277967e-12,30.6807,0.000253973,-30.6806492054
3.6264915116561,4.732850874023448,1.6927797534443734,2.1807593234648777,8.175229304583176,2.257096388686063,8.085442475723323e-05,1e-12,4.355676615246497e-12,16.15,0.000657798,-16.1498684404
1.3579894609038634,2.3546532940649785,1.9677438646771648,5.0,5.626862509674763,10.0,3.518271142341889e-05,1e-12,1e-12,29.443,0.000174959,-29.4429650082
4.941231979075642,4.9898183454456815,2.696664174517689,2.829346429980828,2.0,6.560057440900006,9.174808883092734e-05,3.943556058552045e-12,1e-12,30.6801,0.000289534,-30.6800420932
3.261159535796438,3.90322421252675,2.9927876769162416,3.5485835256354776,2.0,10.0,5.669879920436778e-05,7.727723299952755e-12,2.708800946121196e-12,29.0592,0.0015064,-29.058898720000002
3.623900951702707,5.0,1.7216947256957518,2.031031704880331,3.4797487356389913,10.0,0.0001,1e-12,1e-12,30.2297,0.000137881,-30.2296724238
2.5568901986253003,1.0,1.0,4.239645167456985,2.4491952287435232,10.0,1.4810550481730453e-05,6.041930192753304e-12,1e-12,29.3773,0.000633042,-29.377173391600003
1.0,1.0,1.090665004967713,4.712474083436447,5.511039320587077,10.0,1e-05,5.054694256023937e-12,2.955334876772944e-12,29.6694,0.000541803,-29.6692916394
1.0,1.439765592471311,1.4776975957131235,3.8793200456832535,4.264894536933905,2.0,1e-05,1e-12,3.2377323237716573e-12,8.5653,0.000426084,-8.5652147832
4.708105607789941,3.706858154334578,1.0,1.0,2.0,6.088155115353466,1e-05,2.3400456343367194e-12,1e-12,30.176,0.00019204,-30.175961591999997
1.0,3.110640145879607,1.0,1.0,5.752867509232521,10.0,1e-05,1e-11,1e-12,30.0257,0.000544699,-30.0255910602
1.0,3.669066739435955,2.1108550260720556,1.0308000789086325,2.0,5.948664472943804,1e-05,1e-12,1e-12,29.1024,0.000276396,-29.102344720799998
5.0,4.769425355817269,1.0,2.602152036562091,3.180556869234233,2.9696857116278275,2.8187706958153e-05,8.424357322517843e-12,1e-12,30.3904,0.000374282,-30.3903251436
5.0,3.6903126581752925,1.461708075252611,2.5140127757418327,3.928581164547185,5.270152808817032,4.969372164380347e-05,4.306720584577846e-12,1e-12,30.6009,0.000220225,-30.600855955
5.0,3.862580443510657,1.0,1.0,2.0,2.9569815087088713,2.4048018567933965e-05,9.139260455711097e-12,3.4839311496718217e-12,30.5912,0.000598889,-30.591080222200002
4.186171947440933,1.7337391594646552,4.118764001091078,3.3874006317859484,5.56666202282873,2.799799326544023,5.1332400276928054e-05,4.003377500251197e-12,2.285801361297467e-12,0.404169,0.00141643,-0.403885714
3.603553891795412,1.225646316108401,3.8879950890672994,4.7542108360630015,2.0062301267281146,9.937692474329742,6.55733358664945e-05,6.5048784443945285e-12,1.0635967469774566e-12,28.9643,0.00115732,-28.964068536000003
1.092249700165663,3.099098641033557,2.5994438868610223,1.1866626528544617,9.790044150731674,3.8621707234424343,1.8154579107953875e-05,6.5654740839977866e-12,4.442157921404465e-12,9.103,0.00282786,-9.102434428
4.932923543227154,2.86705157299192,4.439761626945283,3.7212301543511193,5.603994015756345,2.1061196892789322,9.479815801163677e-05,6.069593960609854e-12,4.468748522859246e-12,1.72972,0.00219094,-1.729281812
1.0638650088808568,1.9235753024885962,1.964101864104047,3.7330540753018333,6.879973262260968,8.665559293889316,2.5602818815699492e-05,4.519545468159168e-12,2.640124790092561e-12,29.5261,0.000564879,-29.5259870242
4.021445641270611,2.7006234979649792,1.8317666514727555,3.2708013112799663,2.2505063396444687,8.738278196759989,5.047787200327892e-05,4.5563521240163305e-12,9.33992979214415e-12,29.28,0.00174415,-29.27965117
3.909087983425684,2.306163075223342,3.281775897621598,3.083337040103295,9.689376194794795,8.756270789425212,7.725880991236429e-05,5.857229191501718e-12,6.280760490974634e-12,12.8375,0.00304535,-12.836890930000001
4.861021229056552,3.428136990746739,2.1039967280901735,2.1850940228163296,3.32213551250402,2.1250912539295514,4.8106133263573275e-05,4.5539336635801285e-12,3.641393572462344e-12,30.1798,0.000638231,-30.1796723538
1.0563192908603378,1.7953696163552209,3.8453678109946003,4.1607021621248235,6.847679798248092,9.410407028106793,6.859693229517501e-05,9.234637079894028e-12,8.650347200108195e-12,13.1316,0.00483874,-13.130632252
2.797802696552814,1.3816404659616452,2.4832730087930655,3.6753650106544296,7.327378852939974,6.730382301661818,3.4724961369105785e-05,6.051190832629311e-12,4.44634187278411e-12,9.9611,0.00271631,-9.960556738
2.596726977701782,3.240649666659543,1.8408684680855498,2.715147801757775,4.715025723308051,4.4239009800551,3.4652008535456805e-05,3.6033913144607694e-12,1e-12,29.7691,0.000313318,-29.7690373364
