W_M1,W_M2,W_M3,W_M4,W_M5,W_M6,I1,C1,C2,gain_db,power_watts
2.2987173071560316,2.297552651623065,3.2898684446050495,2.4916332183046093,7.463932775400889,4.52696897934427,7.747929090535868e-05,6.801379836053244e-12,2.0554884707252676e-12,7.64352,0.00281332
4.885438246954207,1.4301768083052795,1.6142877573634373,4.0846042112527705,8.50316070323499,3.409536778497473,2.780566632871855e-05,8.485204724956865e-12,1.5749887447721632e-12,6.29264,0.00331129
4.377764484172985,1.213897230218048,3.9072518103100258,4.882754100317037,8.849392108209958,3.3677960589718836,9.816258364028877e-05,3.2429898825808797e-12,1.863613563385113e-12,-5.00027,0.00108491
2.027673353543784,3.5183456818517667,2.791172328642941,2.0164337675349797,6.732811904358373,7.945216430275385,2.8451369497986003e-05,9.225297125798233e-12,2.0086153078656226e-12,29.429,0.00097316
3.1372710923151352,4.303243594441168,1.4342182195061834,4.388173202437525,2.102070042840552,8.881327802167297,9.674998025521986e-05,5.900212515852456e-12,8.356535579400572e-12,29.6347,0.00134326
2.084628448040118,3.5979380521752318,1.2161905055437705,2.010114963193675,9.825593856740769,3.189493860479181,2.690849241243275e-05,4.306606669909643e-12,8.211002989844764e-12,22.9312,0.00663841
1.4439281893060718,4.9537479152501795,2.6561041963018543,4.6906938851189715,9.51341552309765,5.739361588386857,1.026615988650465e-05,5.193407882695683e-12,8.284464219625808e-12,29.6159,0.00101638
4.792611967310452,1.2834591621803542,3.1161573115560777,3.7872006261671385,3.5406949831356727,7.371236266998996,4.710416426325521e-05,1.3089330783953302e-12,3.2313549148709036e-12,18.5494,0.00108921
1.6337648269622158,2.6537143062612465,2.1262687396104396,3.72542888199322,7.744770542401903,2.9075101057561916,5.151492741993905e-05,3.5939068058828856e-12,1.4374154921500986e-12,8.85178,0.00154778
4.296358145097058,2.62248571461024,4.979464093696382,2.045256617439854,7.340151710100828,7.029589481197722,8.988183588831576e-05,7.1332522896179615e-12,5.478605760836308e-12,9.69391,0.00318296
